Date,Close
4/17/2018,22.81
4/18/2018,22.22
4/19/2018,22.75
4/20/2018,23.52
4/23/2018,23.25
4/24/2018,23.5
4/25/2018,22.67
4/26/2018,22.97
4/27/2018,26.52
4/30/2018,25.88
5/1/2018,26.46
5/2/2018,26.2
5/3/2018,26.2
5/4/2018,25.75
5/7/2018,26
5/8/2018,26.46
5/9/2018,26.01
5/10/2018,26.49
5/11/2018,26.21
5/14/2018,26.66
5/15/2018,26.98
5/16/2018,26.59
5/17/2018,26.22
5/18/2018,26.1
5/21/2018,26.32
5/22/2018,26.05
5/23/2018,25.46
5/24/2018,25.01
5/25/2018,28.6
5/29/2018,37.7
5/30/2018,30.94
5/31/2018,31.26
6/1/2018,34.78
6/4/2018,36.1
6/5/2018,31.88
6/6/2018,33.03
6/7/2018,33
6/8/2018,32.71
6/11/2018,31.05
6/12/2018,30.51
6/13/2018,30.2
6/14/2018,29.99
6/15/2018,29.8
6/18/2018,30.4
6/19/2018,29.7
6/20/2018,29.86
6/21/2018,28.72
6/22/2018,30.61
6/25/2018,20.54
6/26/2018,16.05
6/27/2018,15.51
6/28/2018,14.22
6/29/2018,14.25
7/2/2018,15.38
7/3/2018,16.06
7/5/2018,17.5
7/6/2018,19
7/9/2018,19.8
7/10/2018,19.35
7/11/2018,20.81
7/12/2018,21.46
7/13/2018,21.69
7/16/2018,21.45
7/17/2018,20.96
7/18/2018,21.86
7/19/2018,22.14
7/20/2018,22.2
7/23/2018,24.2
7/24/2018,24.6
7/25/2018,26.06
7/26/2018,25.98
7/27/2018,25.99
7/30/2018,25.41
7/31/2018,22.75
8/1/2018,21.36
8/2/2018,22.3
8/3/2018,23.03
8/6/2018,19.02
8/7/2018,17.69
8/8/2018,18.01
8/9/2018,18.85
8/10/2018,19.05
8/13/2018,17.91
8/14/2018,17.98
8/15/2018,17.59
8/16/2018,18.35
8/17/2018,19.55
8/20/2018,20.98
8/21/2018,20.34
8/22/2018,20.24
8/23/2018,19.1
8/24/2018,18.72
8/27/2018,19.67
8/28/2018,19.7
8/29/2018,19.32
8/30/2018,19.02
8/31/2018,19.7
9/4/2018,20.05
9/5/2018,22.01
9/6/2018,21.47
9/7/2018,21.88
9/10/2018,21.24
9/11/2018,21.06
9/12/2018,20.45
9/13/2018,20.1
9/14/2018,20
9/17/2018,19.5
9/18/2018,19.2
9/19/2018,19.56
9/20/2018,19.32
9/21/2018,19.1
9/24/2018,19.09
9/25/2018,18.61
9/26/2018,18.79
9/27/2018,19.43
9/28/2018,19
10/1/2018,20
10/2/2018,19.11
10/3/2018,20.8
10/4/2018,20.15
10/5/2018,20.55
10/8/2018,21.19
10/9/2018,20.9
10/10/2018,20.49
10/11/2018,20.08
10/12/2018,21.2
10/15/2018,21.5
10/16/2018,23.52
10/17/2018,23.49
10/18/2018,24
10/19/2018,27.23
10/22/2018,30.81
10/23/2018,32.2
10/24/2018,23.17
10/25/2018,24.3
10/26/2018,21.82
10/29/2018,20.81
10/30/2018,19
10/31/2018,19
11/1/2018,19.4
11/2/2018,19.7
11/5/2018,19.18
11/6/2018,18.6
11/7/2018,19.82
11/8/2018,18.76
11/9/2018,20.2
11/12/2018,21.3
11/13/2018,21.99
11/14/2018,21.07
11/15/2018,21.85
11/16/2018,21.39
11/19/2018,22.14
11/20/2018,21.71
11/21/2018,21.95
11/23/2018,22.5
11/26/2018,22.93
11/27/2018,24.54
11/28/2018,24.6
11/29/2018,25
11/30/2018,24.7
12/3/2018,25.27
12/4/2018,27.93
12/6/2018,26.43
12/7/2018,25.38
12/10/2018,25.71
12/11/2018,26.1
12/12/2018,26.73
12/13/2018,26.94
12/14/2018,26.27
12/17/2018,25.75
12/18/2018,24.29
12/19/2018,24.46
12/20/2018,22.06
12/21/2018,20.25
12/24/2018,20.5
12/26/2018,22.1
12/27/2018,23
12/28/2018,22.74
12/31/2018,21.9
1/2/2019,22.66
1/3/2019,23.9
1/4/2019,23.49
1/7/2019,23.71
1/8/2019,24.48
1/9/2019,24.91
1/10/2019,24.77
1/11/2019,24.9
1/14/2019,24.31
1/15/2019,22.66
1/16/2019,22.43
1/17/2019,22.15
1/18/2019,22.18
1/22/2019,21.69
1/23/2019,21.65
1/24/2019,22.24
1/25/2019,24.48
1/28/2019,22.78
1/29/2019,24.97
1/30/2019,24.47
1/31/2019,24.62
2/1/2019,24.66
2/4/2019,25.53
2/5/2019,26.03
2/6/2019,25.84
2/7/2019,25.64
2/8/2019,25
2/11/2019,26.69
2/12/2019,27.86
2/13/2019,29.38
2/14/2019,29.01
2/15/2019,29.17
2/19/2019,30.05
2/20/2019,30.46
2/21/2019,30.55
2/22/2019,28.65
2/25/2019,28.97
2/26/2019,28.6
2/27/2019,28.67
2/28/2019,29.13
3/1/2019,29.5
3/4/2019,30.91
3/5/2019,29.94
3/6/2019,30.18
3/7/2019,30.89
3/8/2019,29
3/11/2019,28.29
3/12/2019,29.24
3/13/2019,29.02
3/14/2019,28.41
3/15/2019,28.54
3/18/2019,28.15
3/19/2019,28.3
3/20/2019,26.93
3/21/2019,27.25
3/22/2019,27.2
3/25/2019,27.12
3/26/2019,26.98
3/27/2019,27.37
3/28/2019,26.59
3/29/2019,24.68
4/1/2019,26.38
4/2/2019,26.03
4/3/2019,26.78
4/4/2019,27.8
4/5/2019,29.42
4/8/2019,29.75
4/9/2019,30.52
4/10/2019,31.26
4/11/2019,30.47
4/12/2019,30.97
4/15/2019,29.5
4/16/2019,28.1
4/17/2019,28.56
4/18/2019,28.95
4/22/2019,29.77
4/24/2019,30.48
4/25/2019,29.35
4/26/2019,30.5
4/29/2019,30
4/30/2019,30.74
5/1/2019,29.62
5/2/2019,28.86
5/3/2019,28.98
5/6/2019,28.9
5/7/2019,28.12
5/8/2019,28.09
5/9/2019,27.78
5/10/2019,27.9
5/13/2019,26.51
5/14/2019,26.02
5/15/2019,26.1
5/16/2019,25.41
5/17/2019,25.08
5/20/2019,26.38
5/21/2019,26.58
5/22/2019,27.29
5/23/2019,27.32
5/24/2019,25.66
5/28/2019,25.44
5/29/2019,25.8
5/30/2019,26.66
5/31/2019,26.61
6/3/2019,28.25
6/4/2019,25.45
6/5/2019,24.63
6/6/2019,23.02
6/7/2019,24.28
6/10/2019,25
6/12/2019,24.1
6/13/2019,23.8
6/14/2019,23.9
6/17/2019,22.2
6/18/2019,22.44
6/19/2019,22.44
6/20/2019,23.35
6/21/2019,22.76
6/24/2019,22.38
6/25/2019,22.32
6/26/2019,22.2
6/27/2019,21.49
6/28/2019,20.65
7/1/2019,21.49
7/2/2019,20.51
7/3/2019,20.09
7/5/2019,19.8
7/8/2019,19.89
7/9/2019,20.38
7/10/2019,20.02
7/11/2019,20.15
7/12/2019,20.13
7/15/2019,19.32
7/16/2019,19.42
7/17/2019,19.23
7/18/2019,18.41
7/19/2019,18.83
7/22/2019,18.99
7/23/2019,18.44
7/24/2019,18.08
7/25/2019,17.45
7/29/2019,17.35
7/30/2019,18
7/31/2019,17.65
8/1/2019,17.85
8/5/2019,17.84
8/6/2019,17.25
8/7/2019,17
8/8/2019,17.09
8/9/2019,17.1
8/12/2019,17.06
8/13/2019,17.31
8/14/2019,16.89
8/15/2019,16.13
8/16/2019,16.65
8/19/2019,16.49
8/20/2019,17.44
8/21/2019,17.01
8/22/2019,17.19
8/23/2019,16.5
8/26/2019,15.85
8/27/2019,16.05
8/28/2019,16.05
8/29/2019,16.09
8/30/2019,16.15
9/4/2019,17.35
9/5/2019,16.71
9/6/2019,17.1
9/9/2019,17.41
9/10/2019,18.75
9/11/2019,19.55
9/12/2019,18.06
9/13/2019,18.36
9/16/2019,19.59
9/17/2019,18.52
9/18/2019,18.7
9/19/2019,17.85
9/20/2019,17.5
9/24/2019,17.08
9/25/2019,17.32
9/26/2019,17.09
9/27/2019,16.27
9/30/2019,16.89
10/1/2019,16.56
10/2/2019,16.25
10/3/2019,17.31
10/4/2019,17.52
10/7/2019,18.97
10/8/2019,18
10/9/2019,18.2
10/10/2019,18.44
10/11/2019,18
10/14/2019,18
10/15/2019,17.66
10/16/2019,17.51
10/17/2019,17.1
10/18/2019,17.6
10/21/2019,17.11
10/22/2019,17.5
10/23/2019,17.9
10/24/2019,18.7
10/25/2019,18.46
10/28/2019,18.5
10/29/2019,18
10/30/2019,18.05
10/31/2019,18.48
11/1/2019,17.6
11/4/2019,18.02
11/5/2019,17.66
11/6/2019,17.45
11/7/2019,17.61
11/8/2019,17.5
11/11/2019,17.9
11/12/2019,17.56
11/13/2019,17.84
11/14/2019,17.59
11/15/2019,17.27
11/18/2019,17.55
11/19/2019,17.8
11/20/2019,17.17
11/21/2019,17.18
11/22/2019,17.85
11/25/2019,17.49
11/26/2019,17.05
11/27/2019,17.55
11/29/2019,17.67
12/2/2019,17.96
12/3/2019,17.68
12/4/2019,18.14
12/5/2019,17.95
12/6/2019,17.8
12/9/2019,17.87
12/10/2019,18.53
12/11/2019,18.25
12/12/2019,18.02
12/13/2019,18.03
12/16/2019,17.93
12/17/2019,17.45
12/18/2019,17.77
12/20/2019,17.56
12/23/2019,17.99
12/24/2019,18.34
12/26/2019,18.02
12/27/2019,17.89
12/30/2019,18.53
12/31/2019,18.34
1/2/2020,18.54
1/3/2020,18.42
1/6/2020,18.42
1/7/2020,18.45
1/8/2020,18.36
1/9/2020,18.39
1/10/2020,18.72
1/13/2020,18.41
1/14/2020,18.39
1/15/2020,18.5
1/16/2020,18.22
1/17/2020,18.24
1/21/2020,18.08
1/22/2020,18.65
1/23/2020,18.81
1/24/2020,18.6
1/27/2020,18.25
1/28/2020,18.2
1/29/2020,18.02
1/30/2020,18.09
1/31/2020,18.17
2/3/2020,18.23
2/4/2020,18.32
2/6/2020,18.6
2/7/2020,18.83
2/10/2020,18.66
2/11/2020,18.65
2/12/2020,18.73
2/13/2020,18.71
2/14/2020,18.96
2/18/2020,16.68
2/19/2020,16.31
2/20/2020,14.55
2/21/2020,14.11
2/24/2020,14.2
2/25/2020,13.96
2/26/2020,13.51
2/27/2020,12.75
2/28/2020,12.86
3/2/2020,12.49
3/3/2020,12.24
3/4/2020,14.13
3/5/2020,13.51
3/6/2020,14.15
3/9/2020,13.69
3/10/2020,13.34
3/11/2020,12.85
3/12/2020,10.44
3/13/2020,12.16
3/16/2020,10.87
3/17/2020,11.02
3/18/2020,7.96
3/19/2020,9.06
3/20/2020,9.78
3/23/2020,10.1
3/24/2020,9.8
3/25/2020,10.02
3/26/2020,10.59
3/27/2020,10.64
3/30/2020,11.19
3/31/2020,11.19
4/1/2020,10
4/2/2020,10.83
4/6/2020,10
4/7/2020,10.02
4/8/2020,10.16
4/9/2020,10.65
4/13/2020,10.12
4/15/2020,9.15
